Learning Rate,Decay,Iteration,Learning Rate at Iteration,Loss
0.0001,0.0,0,0.0001,8.700000000000001
0.0001,0.0,100,0.0001,4.568648558861182
0.0001,0.0,200,0.0001,3.302473813906585
0.0001,0.0,300,0.0001,2.5109492567268386
0.0001,0.0,400,0.0001,1.9692586984788787
0.0001,0.0,500,0.0001,1.540926468987835
0.0001,0.0,600,0.0001,1.2049712341156968
0.0001,0.0,700,0.0001,0.9745697476172097
0.0001,0.0,800,0.0001,0.8058600786687852
0.0001,0.0,900,0.0001,0.6970881233001966
0.0001,0.0,1000,0.0001,0.5939372892331259
0.0001,0.0,1100,0.0001,0.5001141512456977
0.0001,0.0,1200,0.0001,0.43392879305651655
0.0001,0.0,1300,0.0001,0.41228153553602526
0.0001,0.0,1400,0.0001,0.3545569699901835
0.0001,0.0,1500,0.0001,0.3508804700673601
0.0001,0.0,1600,0.0001,0.2898516705299391
0.0001,0.0,1700,0.0001,0.2919705768972914
0.0001,0.0,1800,0.0001,0.2664245858254287
0.0001,0.0,1900,0.0001,0.2643252228333059
0.0001,0.0,2000,0.0001,0.2603486186321934
0.0001,0.0,2100,0.0001,0.2581815231686035
0.0001,0.0,2200,0.0001,0.2531130913531876
0.0001,0.0,2300,0.0001,0.25350658944311766
0.0001,0.0,2400,0.0001,0.24870377663262572
0.0001,0.0,2500,0.0001,0.24530823110213
0.0001,0.0,2600,0.0001,0.241911801066224
0.0001,0.0,2700,0.0001,0.24734632150991806
0.0001,0.0,2800,0.0001,0.23683763075320294
0.0001,0.0,2900,0.0001,0.23375726146034218
0.0001,0.0,3000,0.0001,0.24554317809211018
0.0001,0.0,3100,0.0001,0.22941992128020575
0.0001,0.0,3200,0.0001,0.23028433996495498
0.0001,0.0,3300,0.0001,0.2237380095887328
0.0001,0.0,3400,0.0001,0.22745334709402454
0.0001,0.0,3500,0.0001,0.2224446962518986
0.0001,0.0,3600,0.0001,0.22155975462250155
0.0001,0.0,3700,0.0001,0.2218731617745262
0.0001,0.0,3800,0.0001,0.22222405044783491
0.0001,0.0,3900,0.0001,0.22155489065067538
0.0001,0.0,4000,0.0001,0.2207359330713724
0.0001,0.0,4100,0.0001,0.22158220780301222
0.0001,0.0,4200,0.0001,0.22104602610438284
0.0001,0.0,4300,0.0001,0.22058194152875188
0.0001,0.0,4400,0.0001,0.22120218453206186
0.0001,0.0,4500,0.0001,0.2203527017052403
0.0001,0.0,4600,0.0001,0.2507033659859968
0.0001,0.0,4700,0.0001,0.2202828779637333
0.0001,0.0,4800,0.0001,0.24751358169227275
0.0001,0.0,4900,0.0001,0.21912483216112125
0.0001,0.0,5000,0.0001,0.21879333778949817
0.0001,0.0,5100,0.0001,0.21969166975523852
0.0001,0.0,5200,0.0001,0.21990814363610772
0.0001,0.0,5300,0.0001,0.2183510085524853
0.0001,0.0,5400,0.0001,0.2195322565065392
0.0001,0.0,5500,0.0001,0.2187279114687639
