Image Size,Features,C,Mean Train Accuracy,Mean Validation Accuracy,Validation Accuracy Std,Mean Balanced Accuracy,Balanced Accuracy Std,Mean Body Recall,Mean Face Recall,Mean Actual Margin,Mean Violation Proportion
"(16, 16)",256,0.01,0.8924886128364389,0.5969934640522876,0.08428443530350786,0.57212987012987,0.08506977680282526,0.4457142857142858,0.6985454545454546,4.1527269100422775,0.7099710144927535
"(16, 16)",256,0.1,0.9954037267080745,0.5575163398692811,0.11133387895355601,0.5423376623376623,0.11089129696974866,0.46285714285714286,0.6218181818181818,1.5452598196527747,0.19201656314699794
"(16, 16)",256,1.0,1.0,0.5577777777777778,0.09826866396466014,0.5464935064935065,0.09432166321223139,0.48571428571428577,0.6072727272727273,1.426869778097542,0.01494824016563147
"(32, 32)",1024,0.01,0.9954037267080744,0.5640522875816993,0.11613038347513291,0.5507272727272726,0.1157152797776766,0.48,0.6214545454545455,4.1214882077167525,0.3409192546583851
"(32, 32)",1024,0.1,1.0,0.5643137254901961,0.10786381263484325,0.5565974025974026,0.10432212655384512,0.5142857142857142,0.598909090909091,3.69042819591314,0.01551966873706004
"(32, 32)",1024,1.0,1.0,0.5643137254901961,0.10786381263484325,0.5565974025974026,0.10432212655384512,0.5142857142857142,0.598909090909091,3.683527719210624,0.0022939958592132505
"(64, 64)",4096,0.01,1.0,0.5666666666666668,0.10186437540239619,0.5546233766233766,0.10224323549219758,0.49142857142857144,0.6178181818181818,8.22160383896447,0.02816563146997929
"(64, 64)",4096,0.1,1.0,0.5666666666666668,0.10186437540239619,0.5546233766233766,0.10224323549219758,0.49142857142857144,0.6178181818181818,8.204770272857228,0.00920910973084886
"(64, 64)",4096,1.0,1.0,0.5666666666666668,0.10586217834103888,0.5546233766233766,0.1063523486391148,0.49142857142857144,0.6178181818181818,8.19165386134367,0.0017142857142857142
