Learning Rate,Decay,Best Loss,Best Iteration,Eta at Best,End Loss Before Restore,Best Loss @ 1k,Best Loss @ 5k,Best Loss @ 10k,Best Loss @ 25k,Best Loss @ 50k,25k->50k Improvement,Within 1% Best Iter,Within 0.1% Best Iter,Hit Iteration Boundary,Train Accuracy,||w||,Actual Margin,Violations,Violation Proportion,First Zero-Violation Iter,Clipped Steps,Clip Fraction,Max Observed Grad Norm
0.0001,0.0,0.21442059697016294,32609,0.0001,0.2159065197367226,0.592630655611435,0.21883710302173148,0.21593811136880212,0.21457736549236098,0.21442059697016294,0.0007311262276722933,8379,24821,False,1.0,0.6548536045015868,3.0541177237960118,1,0.011494252873563218,3293.0,0,0.0,61.92956961450977
0.0001,0.0001,0.21062051346509175,49358,1.684692880487887e-05,0.21480381486402195,0.6345043797070282,0.2187522255910709,0.21441796213102288,0.21181210811608273,0.21062051346509175,0.005657543186971997,16173,43048,True,1.0,0.6490289558511557,3.0815266129030268,1,0.011494252873563218,3899.0,0,0.0,61.365187718628476
0.0001,0.001,0.21552637504602729,49921,1.96382631920033e-06,0.2155337180481264,0.9837923121690146,0.26091573187472145,0.24158797073235838,0.21869362002650164,0.21552637504602729,0.01469539391546842,26116,44473,True,1.0,0.6565449707351282,3.046249821639203,1,0.011494252873563218,26804.0,0,0.0,57.30120712188531
0.0001,0.01,1.1309260603476166,49999,1.9960478253058943e-07,1.1309264569007802,2.9201448076598355,1.9919207143793476,1.6732813880316555,1.3535030440241138,1.1309260603476166,0.19680949222098837,47719,49764,True,0.9655172413793104,0.48340949292616364,4.137279116911098,25,0.28735632183908044,,0,0.0,32.07140503768835
0.0005,0.0,0.23396438654572285,9302,0.0005,0.42364230197612174,0.24326079307034348,0.23766942258242874,0.23396438654572285,0.23396438654572285,0.23396438654572285,0.0,8392,9301,False,1.0,0.6839926857495574,2.9240078756226584,1,0.011494252873563218,649.0,0,0.0,64.87219911145569
0.0005,0.0001,0.21386894239976892,46326,8.876895217128857e-05,0.21553384435475836,0.2437910940576775,0.2279390440032119,0.22271783954941113,0.21683436340019213,0.21386894239976892,0.013865599030644559,28947,46321,True,1.0,0.6540047336854024,3.0580818409826147,1,0.011494252873563218,634.0,0,0.0,63.89716691077226
0.0005,0.001,0.210159816069491,49296,9.941148401463337e-06,0.210286406792208,0.2349436069913074,0.215471214561612,0.2129781729366785,0.2108945918056615,0.210159816069491,0.003496271313482436,12672,39878,True,1.0,0.6483194202030288,3.084899106328909,1,0.011494252873563218,876.0,0,0.0,61.36525284924784
0.0005,0.01,0.22218325268319844,49994,9.981235277677965e-07,0.22222807855428658,0.4284851594768704,0.2551939755556327,0.24425122417524764,0.23124388674260413,0.22218325268319844,0.04078000456823294,41969,49154,True,1.0,0.6569412897243722,3.0444120826065366,6,0.06896551724137931,,0,0.0,48.298346157482364
0.001,0.0,0.26150286971162534,24186,0.001,0.30187597593445964,0.2717621432373306,0.2667153841811652,0.2615083918176374,0.26150286971162534,0.26150286971162534,0.0,7520,7525,False,1.0,0.7230140150007234,2.766198107512479,2,0.022988505747126436,316.0,0,0.0,70.61699673464574
0.001,0.0001,0.21798106551536603,49945,0.00016681958461923428,0.22199184189506163,0.2682117387513671,0.2486268069713665,0.23818985525885097,0.22441663230940945,0.21798106551536603,0.029523512874056298,39781,49942,True,1.0,0.6602624081215147,3.0290986968198257,1,0.011494252873563218,304.0,0,0.0,69.40916416171814
0.001,0.001,0.2103644627001635,49756,1.970210418472693e-05,0.2107731509944945,0.24564341625203542,0.21962297274107145,0.21395277792170314,0.21137063620473218,0.2103644627001635,0.004783001328521833,17488,42226,True,1.0,0.6486345629179306,3.0834002909170484,1,0.011494252873563218,382.0,0,0.0,61.48540229304823
0.001,0.01,0.21354251607058342,49987,1.9965260446822527e-06,0.21446089069940216,0.2494273072455738,0.21870165518624352,0.21641980534600117,0.21459137824072425,0.21354251607058342,0.00491172525940522,13905,42987,True,1.0,0.6535163650232053,3.0603671262753815,1,0.011494252873563218,2393.0,0,0.0,58.56477973438786
0.005,0.0,0.5233982905237589,14899,0.005,0.8555239447463239,0.5811199221123781,0.5589349535566762,0.543697657062593,0.5233982905237589,0.5233982905237589,0.0,14898,14898,False,1.0,1.018897167026953,1.9629066256370242,1,0.011494252873563218,90.0,0,0.0,75.59069257507618
0.005,0.0001,0.2557826717825216,47948,0.0008628425484917512,0.2792537340431861,0.5049892581201417,0.4386454407548841,0.36970162099270176,0.29331821114865353,0.2557826717825216,0.14674778046749928,47943,47948,True,1.0,0.7151000866896379,2.7968112956865356,1,0.011494252873563218,91.0,0,0.0,75.51442866795874
0.005,0.001,0.2143955217021247,49539,9.893349690338154e-05,0.21599125642234748,0.40332168705669086,0.25970626636439514,0.23434939118952308,0.2198991054746581,0.2143955217021247,0.02567023662080001,36059,49534,True,1.0,0.654773539845398,3.0544911764031126,2,0.022988505747126436,95.0,0,0.0,74.12424905865421
0.005,0.01,0.21000570050340653,49813,1.0017430328772065e-05,0.210157831327642,0.24509683077562322,0.21594854373402456,0.21241892290094488,0.21061473184193136,0.21000570050340653,0.002900070507919141,11935,37077,True,1.0,0.6480821919504666,3.0860283230137906,1,0.011494252873563218,107.0,0,0.0,72.40879736095943
